RT,RT_log,current_task,CurvCond,SizeCond,accuracy,condition,participant,block
648.792682926829,6.4475848577407,JudgeSize,Bo,Sm,0.972222222222222,03-SizeTask-SmallBoxy,14,4
620.771084337349,6.40593358771304,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,14,1
620.771084337349,6.40593358771304,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,14,4
626.146341463415,6.41776926327194,JudgeCurviness,Bo,Bi,0.994444444444444,05-CurvTask-BigBoxy,14,2
626.146341463415,6.41776926327194,JudgeCurviness,Bo,Bi,0.994444444444444,05-CurvTask-BigBoxy,14,3
638.172413793103,6.42650626673078,JudgeCurviness,Cu,Bi,0.961111111111111,06-CurvTask-BigCurvy,14,2
638.172413793103,6.42650626673078,JudgeCurviness,Cu,Bi,0.961111111111111,06-CurvTask-BigCurvy,14,3
617.313253012048,6.40227414581389,JudgeCurviness,Bo,Sm,0.966666666666667,07-CurvTask-SmallBoxy,14,2
617.313253012048,6.40227414581389,JudgeCurviness,Bo,Sm,0.966666666666667,07-CurvTask-SmallBoxy,14,3
639.954545454545,6.43645037222483,JudgeCurviness,Cu,Sm,0.977777777777778,08-CurvTask-SmallCurvy,14,2
639.954545454545,6.43645037222483,JudgeCurviness,Cu,Sm,0.977777777777778,08-CurvTask-SmallCurvy,14,3
419.204545454545,6.02623592104863,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,15,2
419.204545454545,6.02623592104863,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,15,3
457.082352941176,6.10469239227003,JudgeSize,Cu,Bi,0.861111111111111,02-SizeTask-BigCurvy,15,2
457.082352941176,6.10469239227003,JudgeSize,Cu,Bi,0.861111111111111,02-SizeTask-BigCurvy,15,3
554.869565217391,6.30410939261232,JudgeSize,Bo,Sm,0.95,03-SizeTask-SmallBoxy,15,2
554.869565217391,6.30410939261232,JudgeSize,Bo,Sm,0.95,03-SizeTask-SmallBoxy,15,3
492.5,6.19031493939683,JudgeSize,Cu,Sm,0.95,04-SizeTask-SmallCurvy,15,2
492.5,6.19031493939683,JudgeSize,Cu,Sm,0.95,04-SizeTask-SmallCurvy,15,3
440.188235294118,6.07199745777391,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,15,1
440.188235294118,6.07199745777391,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,15,4
500.076923076923,6.19935827426105,JudgeCurviness,Cu,Bi,0.988888888888889,06-CurvTask-BigCurvy,15,1
500.076923076923,6.19935827426105,JudgeCurviness,Cu,Bi,0.988888888888889,06-CurvTask-BigCurvy,15,4
489.05,6.16651256364792,JudgeCurviness,Bo,Sm,0.755555555555556,07-CurvTask-SmallBoxy,15,1
489.05,6.16651256364792,JudgeCurviness,Bo,Sm,0.755555555555556,07-CurvTask-SmallBoxy,15,4
481.555555555556,6.16942783331218,JudgeCurviness,Cu,Sm,0.938888888888889,08-CurvTask-SmallCurvy,15,1
