RT,RT_log,condition,participant,current_task,CurvCond,SizeCond,SizeCurv,congruent,accuracy
457.082352941176,6.10469239227003,02-SizeTask-BigCurvy,15,JudgeSize,Cu,Bi,Bi Cu,1,0.861111111111111
554.869565217391,6.30410939261232,03-SizeTask-SmallBoxy,15,JudgeSize,Bo,Sm,Sm Bo,1,0.95
492.5,6.19031493939683,04-SizeTask-SmallCurvy,15,JudgeSize,Cu,Sm,Sm Cu,1,0.95
440.188235294118,6.07199745777391,05-CurvTask-BigBoxy,15,JudgeCurviness,Bo,Bi,Bi Bo,1,1
500.076923076923,6.19935827426105,06-CurvTask-BigCurvy,15,JudgeCurviness,Cu,Bi,Bi Cu,1,0.988888888888889
489.05,6.16651256364792,07-CurvTask-SmallBoxy,15,JudgeCurviness,Bo,Sm,Sm Bo,1,0.755555555555556
481.555555555556,6.16942783331218,08-CurvTask-SmallCurvy,15,JudgeCurviness,Cu,Sm,Sm Cu,1,0.938888888888889
612.444444444444,6.40446514029529,01-SizeTask-BigBoxy,16,JudgeSize,Bo,Bi,Bi Bo,0,0.961111111111111
603.05,6.39113820797304,02-SizeTask-BigCurvy,16,JudgeSize,Cu,Bi,Bi Cu,0,0.977777777777778
595.814814814815,6.37758959745623,03-SizeTask-SmallBoxy,16,JudgeSize,Bo,Sm,Sm Bo,0,0.977777777777778
647.518987341772,6.45449267025305,04-SizeTask-SmallCurvy,16,JudgeSize,Cu,Sm,Sm Cu,0,0.961111111111111
524.481012658228,6.24556449419389,05-CurvTask-BigBoxy,16,JudgeCurviness,Bo,Bi,Bi Bo,0,0.961111111111111
555.024096385542,6.30792254136177,06-CurvTask-BigCurvy,16,JudgeCurviness,Cu,Bi,Bi Cu,0,0.966666666666667
533.47619047619,6.26745078649602,07-CurvTask-SmallBoxy,16,JudgeCurviness,Bo,Sm,Sm Bo,0,0.983333333333333
534.113924050633,6.26538731333821,08-CurvTask-SmallCurvy,16,JudgeCurviness,Cu,Sm,Sm Cu,0,0.955555555555556
550.682926829268,6.29840706191749,01-SizeTask-BigBoxy,17,JudgeSize,Bo,Bi,Bi Bo,1,0.994444444444444
561.069444444444,6.31950971786551,02-SizeTask-BigCurvy,17,JudgeSize,Cu,Bi,Bi Cu,1,0.966666666666667
619.786666666667,6.40493010357479,03-SizeTask-SmallBoxy,17,JudgeSize,Bo,Sm,Sm Bo,1,0.938888888888889
564.481481481482,6.32021881812208,04-SizeTask-SmallCurvy,17,JudgeSize,Cu,Sm,Sm Cu,1,1
528.541176470588,6.25848850214636,05-CurvTask-BigBoxy,17,JudgeCurviness,Bo,Bi,Bi Bo,1,0.983333333333333
502.089743589744,6.20881818175284,06-CurvTask-BigCurvy,17,JudgeCurviness,Cu,Bi,Bi Cu,1,0.961111111111111
583.706666666667,6.35149330761571,07-CurvTask-SmallBoxy,17,JudgeCurviness,Bo,Sm,Sm Bo,1,0.944444444444444
480.204819277108,6.16637055801951,08-CurvTask-SmallCurvy,17,JudgeCurviness,Cu,Sm,Sm Cu,1,0.983333333333333
652.851351351351,6.45805519712522,01-SizeTask-BigBoxy,18,JudgeSize,Bo,Bi,Bi Bo,0,0.95
620.246153846154,6.41828090967311,02-SizeTask-BigCurvy,18,JudgeSize,Cu,Bi,Bi Cu,0,0.9
656.545454545455,6.47570754782955,03-SizeTask-SmallBoxy,18,JudgeSize,Bo,Sm,Sm Bo,0,0.983333333333333
657.571428571429,6.47657525773259,04-SizeTask-SmallCurvy,18,JudgeSize,Cu,Sm,Sm Cu,0,0.911111111111111
663.41975308642,6.47955501552253,05-CurvTask-BigBoxy,18,JudgeCurviness,Bo,Bi,Bi Bo,0,0.922222222222222
614.691176470588,6.40608424891315,06-CurvTask-BigCurvy,18,JudgeCurviness,Cu,Bi,Bi Cu,0,0.872222222222222
698.5,6.52706725483641,07-CurvTask-SmallBoxy,18,JudgeCurviness,Bo,Sm,Sm Bo,0,0.95
639.958333333333,6.44065862248685,08-CurvTask-SmallCurvy,18,JudgeCurviness,Cu,Sm,Sm Cu,0,0.938888888888889
524.357142857143,6.25477016464678,01-SizeTask-BigBoxy,19,JudgeSize,Bo,Bi,Bi Bo,1,0.977777777777778
568.475609756098,6.33297303712833,02-SizeTask-BigCurvy,19,JudgeSize,Cu,Bi,Bi Cu,1,0.955555555555556
602.470588235294,6.38840403960932,03-SizeTask-SmallBoxy,19,JudgeSize,Bo,Sm,Sm Bo,1,0.944444444444444
543.655172413793,6.28365927584655,04-SizeTask-SmallCurvy,19,JudgeSize,Cu,Sm,Sm Cu,1,0.994444444444444
498.164705882353,6.19406324378837,05-CurvTask-BigBoxy,19,JudgeCurviness,Bo,Bi,Bi Bo,1,0.994444444444444
517.6375,6.23589727040674,06-CurvTask-BigCurvy,19,JudgeCurviness,Cu,Bi,Bi Cu,1,0.955555555555556
533.822784810127,6.26109019844138,07-CurvTask-SmallBoxy,19,JudgeCurviness,Bo,Sm,Sm Bo,1,0.983333333333333
506.886363636364,6.21529371400235,08-CurvTask-SmallCurvy,19,JudgeCurviness,Cu,Sm,Sm Cu,1,0.988888888888889
574.86301369863,6.33959928828593,01-SizeTask-BigBoxy,20,JudgeSize,Bo,Bi,Bi Bo,0,0.955555555555556
606.170731707317,6.39203431984146,02-SizeTask-BigCurvy,20,JudgeSize,Cu,Bi,Bi Cu,0,0.961111111111111
580.329113924051,6.34953708631841,03-SizeTask-SmallBoxy,20,JudgeSize,Bo,Sm,Sm Bo,0,0.972222222222222
617.171052631579,6.3938211896654,04-SizeTask-SmallCurvy,20,JudgeSize,Cu,Sm,Sm Cu,0,0.883333333333333
667.569620253165,6.46796198174988,05-CurvTask-BigBoxy,20,JudgeCurviness,Bo,Bi,Bi Bo,0,0.95
655.379746835443,6.460992264169,06-CurvTask-BigCurvy,20,JudgeCurviness,Cu,Bi,Bi Cu,0,0.972222222222222
594.09756097561,6.37028029945914,07-CurvTask-SmallBoxy,20,JudgeCurviness,Bo,Sm,Sm Bo,0,0.977777777777778
735.529411764706,6.54704780033385,08-CurvTask-SmallCurvy,20,JudgeCurviness,Cu,Sm,Sm Cu,0,0.938888888888889
546.549295774648,6.29509782539391,01-SizeTask-BigBoxy,21,JudgeSize,Bo,Bi,Bi Bo,1,0.955555555555556
591.281690140845,6.36412967292555,02-SizeTask-BigCurvy,21,JudgeSize,Cu,Bi,Bi Cu,1,0.961111111111111
607.859154929577,6.39763184252315,03-SizeTask-SmallBoxy,21,JudgeSize,Bo,Sm,Sm Bo,1,0.933333333333333
574.987654320988,6.34323075162224,04-SizeTask-SmallCurvy,21,JudgeSize,Cu,Sm,Sm Cu,1,0.972222222222222
549.582278481013,6.28549314846929,05-CurvTask-BigBoxy,21,JudgeCurviness,Bo,Bi,Bi Bo,1,0.927777777777778
528.184210526316,6.26002660493933,06-CurvTask-BigCurvy,21,JudgeCurviness,Cu,Bi,Bi Cu,1,0.927777777777778
565.527777777778,6.32341327465264,07-CurvTask-SmallBoxy,21,JudgeCurviness,Bo,Sm,Sm Bo,1,0.916666666666667
506.518518518519,6.20798455695674,08-CurvTask-SmallCurvy,21,JudgeCurviness,Cu,Sm,Sm Cu,1,0.955555555555556
684.081395348837,6.51072734947764,01-SizeTask-BigBoxy,22,JudgeSize,Bo,Bi,Bi Bo,0,0.983333333333333
743.848837209302,6.59032991082225,02-SizeTask-BigCurvy,22,JudgeSize,Cu,Bi,Bi Cu,0,0.977777777777778
758.407407407407,6.61598797642252,03-SizeTask-SmallBoxy,22,JudgeSize,Bo,Sm,Sm Bo,0,0.977777777777778
780.3625,6.64156059130354,04-SizeTask-SmallCurvy,22,JudgeSize,Cu,Sm,Sm Cu,0,0.994444444444444
639.8125,6.44310442009713,05-CurvTask-BigBoxy,22,JudgeCurviness,Bo,Bi,Bi Bo,0,0.994444444444444
616.569620253165,6.40888696499485,06-CurvTask-BigCurvy,22,JudgeCurviness,Cu,Bi,Bi Cu,0,0.994444444444444
648.658536585366,6.45692895285621,07-CurvTask-SmallBoxy,22,JudgeCurviness,Bo,Sm,Sm Bo,0,0.977777777777778
611.158536585366,6.40002436964549,08-CurvTask-SmallCurvy,22,JudgeCurviness,Cu,Sm,Sm Cu,0,0.966666666666667
501.15,6.20972214805326,01-SizeTask-BigBoxy,23,JudgeSize,Bo,Bi,Bi Bo,1,0.988888888888889
551.450704225352,6.30104772942554,02-SizeTask-BigCurvy,23,JudgeSize,Cu,Bi,Bi Cu,1,0.961111111111111
529.932432432432,6.25686317051226,03-SizeTask-SmallBoxy,23,JudgeSize,Bo,Sm,Sm Bo,1,0.916666666666667
503.121951219512,6.20908074077738,04-SizeTask-SmallCurvy,23,JudgeSize,Cu,Sm,Sm Cu,1,0.988888888888889
524.583333333333,6.24619030351473,05-CurvTask-BigBoxy,23,JudgeCurviness,Bo,Bi,Bi Bo,1,0.977777777777778
530.155844155844,6.25763644157953,06-CurvTask-BigCurvy,23,JudgeCurviness,Cu,Bi,Bi Cu,1,0.938888888888889
572.5,6.32178979924548,07-CurvTask-SmallBoxy,23,JudgeCurviness,Bo,Sm,Sm Bo,1,0.938888888888889
523.129411764706,6.24298860003192,08-CurvTask-SmallCurvy,23,JudgeCurviness,Cu,Sm,Sm Cu,1,0.977777777777778
565.382716049383,6.32141494625729,01-SizeTask-BigBoxy,24,JudgeSize,Bo,Bi,Bi Bo,0,0.983333333333333
558.9,6.30738978632988,02-SizeTask-BigCurvy,24,JudgeSize,Cu,Bi,Bi Cu,0,0.972222222222222
581.358024691358,6.34804564699659,03-SizeTask-SmallBoxy,24,JudgeSize,Bo,Sm,Sm Bo,0,0.994444444444444
612.839506172839,6.40078674549524,04-SizeTask-SmallCurvy,24,JudgeSize,Cu,Sm,Sm Cu,0,0.994444444444444
507.916666666667,6.21713959246264,05-CurvTask-BigBoxy,24,JudgeCurviness,Bo,Bi,Bi Bo,0,0.972222222222222
532.867469879518,6.26832120304778,06-CurvTask-BigCurvy,24,JudgeCurviness,Cu,Bi,Bi Cu,0,0.966666666666667
525.058139534884,6.25068144622738,07-CurvTask-SmallBoxy,24,JudgeCurviness,Bo,Sm,Sm Bo,0,0.972222222222222
500.511363636364,6.20322931088791,08-CurvTask-SmallCurvy,24,JudgeCurviness,Cu,Sm,Sm Cu,0,0.972222222222222
